intersection_name,intersection_type,scenario,ped_estimation_type,lighting_cmf,twltl_cmf,bulbout_cmf,signal_cmf,school_cmf,pedvol,nlanes,aadt_maj,aadt_minor,nbi_mv,nbi_sv,nbi_all,nped_base,cmf_veh,cmf_ped,ped_factor,pred_veh,pred_ped,long_run_ped_prob,years,long_run_ped_percent
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.3865168196844344,44,38.65
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.39329162009843044,45,39.33
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.3999916052247018,46,40.0
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.4066176012613557,47,40.66
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.413170425282651,48,41.32
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.41965088533975514,49,41.97
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.42605978056038696,50,42.61
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.43239790124736055,51,43.24
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.4386660289760398,52,43.87
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.4448649366907176,53,44.49
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.4509953887999292,54,45.1
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.4570581412707153,55,45.71
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.46305394172184233,56,46.31
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.46898352951599376,57,46.9
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.4748476358509437,58,47.48
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.48064698384972326,59,48.06
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.4863822886497915,60,48.64
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.4920542574912211,61,49.21
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.49766358980391123,62,49.77
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.5032109772938358,63,50.32
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.5086971040283408,64,50.87
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.5141226465204987,65,51.41
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.5194882738125313,66,51.95
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.5247946475583124,67,52.48
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.5300424221049578,68,53.0
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.5352322445735154,69,53.52
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.540364754938764,70,54.04
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.5454405861081308,71,54.54
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.5504603639997371,72,55.05
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.5554247076195826,73,55.54
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.5603342291378776,74,56.03
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.5651895339645305,75,56.52
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.5699912208238046,76,57.0
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.5747398818281475,77,57.47
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.5794361025512074,78,57.94
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.5840804621000417,79,58.41
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.5886735331865289,80,58.87
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.5932158821979916,81,59.32
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.5977080692670397,82,59.77
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.602150648340642,83,60.22
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.6065441672484356,84,60.65
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.610889167770281,85,61.09
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.6151861857030696,86,61.52
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.6194357509267963,87,61.94
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.6236383874698992,88,62.36
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.6277946135738807,89,62.78
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.6319049417572127,90,63.19
